link
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252026000301002&lang=pt
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662026000100210&lang=pt
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252026000201003&lang=pt
http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2675-54752026000201010&lang=pt
